dteday,time_of_day,cnt
2011-03-01,Morning,617
2011-03-01,Night,152
2011-03-02,Afternoon,552
2011-03-02,Evening,714
2011-03-02,Morning,708
2011-03-02,Night,160
2011-03-03,Afternoon,369
2011-03-03,Evening,545
2011-03-03,Morning,625
2011-03-03,Night,146
2011-03-04,Afternoon,503
2011-03-04,Evening,609
2011-03-04,Morning,652
2011-03-04,Night,180
2011-03-05,Afternoon,964
2011-03-05,Evening,475
2011-03-05,Morning,392
2011-03-05,Night,246
2011-03-06,Afternoon,241
2011-03-06,Evening,70
2011-03-06,Morning,131
2011-03-06,Night,163
2011-03-07,Afternoon,461
2011-03-07,Evening,703
2011-03-07,Morning,589
2011-03-07,Night,119
2011-03-08,Afternoon,489
2011-03-08,Evening,709
2011-03-08,Morning,740
2011-03-08,Night,195
2011-03-09,Afternoon,459
2011-03-09,Evening,607
2011-03-09,Morning,704
2011-03-09,Night,121
2011-03-10,Afternoon,93
2011-03-10,Evening,287
2011-03-10,Morning,148
2011-03-10,Night,95
2011-03-11,Afternoon,505
2011-03-11,Evening,570
2011-03-11,Morning,727
2011-03-11,Night,175
2011-03-12,Afternoon,907
2011-03-12,Evening,556
2011-03-12,Morning,401
2011-03-12,Night,268
2011-03-13,Afternoon,1225
2011-03-13,Evening,566
2011-03-13,Morning,396
2011-03-13,Night,230
2011-03-14,Afternoon,456
2011-03-14,Evening,785
2011-03-14,Morning,660
2011-03-14,Night,145
2011-03-15,Afternoon,491
2011-03-15,Evening,682
2011-03-15,Morning,760
2011-03-15,Night,123
2011-03-16,Afternoon,539
2011-03-16,Evening,779
2011-03-16,Morning,695
2011-03-16,Night,179
2011-03-17,Afternoon,602
2011-03-17,Evening,967
2011-03-17,Morning,852
2011-03-17,Night,323
2011-03-18,Afternoon,921
2011-03-18,Evening,1002
2011-03-18,Morning,935
2011-03-18,Night,381
2011-03-19,Afternoon,1497
2011-03-19,Evening,757
2011-03-19,Morning,485
2011-03-19,Night,378
2011-03-20,Afternoon,1242
2011-03-20,Evening,528
2011-03-20,Morning,481
2011-03-20,Night,220
2011-03-21,Afternoon,542
2011-03-21,Evening,891
2011-03-21,Morning,418
2011-03-21,Night,226
2011-03-22,Afternoon,627
2011-03-22,Evening,918
2011-03-22,Morning,932
2011-03-22,Night,226
2011-03-23,Afternoon,500
2011-03-23,Evening,745
2011-03-23,Morning,761
2011-03-23,Night,115
2011-03-24,Afternoon,452
2011-03-24,Evening,703
2011-03-24,Morning,515
2011-03-24,Night,195
2011-03-25,Afternoon,688
2011-03-25,Evening,639
2011-03-25,Morning,691
2011-03-25,Night,192
2011-03-26,Afternoon,1149
2011-03-26,Evening,579
2011-03-26,Morning,518
2011-03-26,Night,250
2011-03-27,Afternoon,789
2011-03-27,Evening,456
2011-03-27,Morning,271
2011-03-27,Night,177
2011-03-28,Afternoon,446
2011-03-28,Evening,778
2011-03-28,Morning,659
2011-03-28,Night,145
2011-03-29,Afternoon,519
2011-03-29,Evening,915
2011-03-29,Morning,790
2011-03-29,Night,201
2011-03-30,Afternoon,364
2011-03-30,Evening,317
2011-03-30,Morning,762
2011-03-30,Night,93
2011-03-31,Afternoon,384
2011-03-31,Evening,560
2011-03-31,Morning,587
2011-03-31,Night,154
2011-04-01,Afternoon,570
2011-04-01,Evening,735
2011-04-01,Morning,678
2011-04-01,Night,244
2011-04-02,Afternoon,843
2011-04-02,Evening,596
2011-04-02,Morning,529
2011-04-02,Night,284
2011-04-03,Afternoon,1624
2011-04-03,Evening,669
2011-04-03,Morning,733
2011-04-03,Night,223
2011-04-04,Afternoon,751
2011-04-04,Evening,1203
2011-04-04,Morning,921
2011-04-04,Night,240
2011-04-05,Afternoon,368
2011-04-05,Evening,791
2011-04-05,Morning,427
2011-04-05,Night,209
2011-04-06,Afternoon,647
2011-04-06,Evening,1054
2011-04-06,Morning,854
2011-04-06,Night,253
2011-04-07,Afternoon,818
2011-04-07,Evening,1105
2011-04-07,Morning,931
2011-04-07,Night,287
2011-04-08,Afternoon,222
2011-04-08,Evening,326
2011-04-08,Morning,734
2011-04-08,Night,189
2011-04-09,Afternoon,1028
2011-04-09,Evening,657
2011-04-09,Morning,466
2011-04-09,Night,304
2011-04-10,Afternoon,1359
2011-04-10,Evening,699
2011-04-10,Morning,506
2011-04-10,Night,331
2011-04-11,Afternoon,794
2011-04-11,Evening,1285
2011-04-11,Morning,929
2011-04-11,Night,340
2011-04-12,Afternoon,419
2011-04-12,Evening,748
2011-04-12,Morning,632
2011-04-12,Night,235
2011-04-13,Afternoon,485
2011-04-13,Evening,931
2011-04-13,Morning,445
2011-04-13,Night,301
2011-04-14,Afternoon,785
2011-04-14,Evening,1153
2011-04-14,Morning,988
2011-04-14,Night,341
2011-04-15,Afternoon,948
2011-04-15,Evening,921
2011-04-15,Morning,945
2011-04-15,Night,312
2011-04-16,Afternoon,264
2011-04-16,Evening,177
2011-04-16,Morning,162
2011-04-16,Night,192
2011-04-17,Afternoon,1789
2011-04-17,Evening,934
2011-04-17,Morning,687
2011-04-17,Night,334
2011-04-18,Afternoon,878
2011-04-18,Evening,1241
2011-04-18,Morning,936
2011-04-18,Night,374
2011-04-19,Afternoon,658
2011-04-19,Evening,1276
2011-04-19,Morning,931
2011-04-19,Night,339
2011-04-20,Afternoon,870
2011-04-20,Evening,1481
2011-04-20,Morning,1158
2011-04-20,Night,435
2011-04-21,Afternoon,1133
2011-04-21,Evening,1461
2011-04-21,Morning,1079
2011-04-21,Night,516
2011-04-22,Afternoon,293
2011-04-22,Evening,222
2011-04-22,Morning,1028
2011-04-22,Night,140
2011-04-23,Afternoon,1817
2011-04-23,Evening,1225
2011-04-23,Morning,513
2011-04-23,Night,481
2011-04-24,Afternoon,1977
2011-04-24,Evening,900
2011-04-24,Morning,915
2011-04-24,Night,399
2011-04-25,Afternoon,951
2011-04-25,Evening,1639
2011-04-25,Morning,1078
2011-04-25,Night,405
2011-04-26,Afternoon,961
2011-04-26,Evening,1611
2011-04-26,Morning,1306
2011-04-26,Night,522
2011-04-27,Afternoon,827
2011-04-27,Evening,1411
2011-04-27,Morning,1220
2011-04-27,Night,414
2011-04-28,Afternoon,803
2011-04-28,Evening,1658
2011-04-28,Morning,1033
2011-04-28,Night,564
2011-04-29,Afternoon,1330
2011-04-29,Evening,1411
2011-04-29,Morning,1300
2011-04-29,Night,554
2011-04-30,Afternoon,2286
2011-04-30,Evening,1389
2011-04-30,Morning,923
2011-04-30,Night,714
2011-05-01,Afternoon,1331
2011-05-01,Evening,654
2011-05-01,Morning,770
2011-05-01,Night,596
2011-05-02,Afternoon,962
2011-05-02,Evening,1587
2011-05-02,Morning,1072
2011-05-02,Night,780
2011-05-03,Afternoon,994
2011-05-03,Evening,1716
2011-05-03,Morning,1300
2011-05-03,Night,441
2011-05-04,Afternoon,698
2011-05-04,Evening,1293
2011-05-04,Morning,304
2011-05-04,Night,338
2011-05-05,Afternoon,958
2011-05-05,Evening,1672
2011-05-05,Morning,1290
2011-05-05,Night,513
2011-05-06,Afternoon,1316
2011-05-06,Evening,1505
2011-05-06,Morning,1250
2011-05-06,Night,537
2011-05-07,Afternoon,1907
2011-05-07,Evening,1129
2011-05-07,Morning,1038
2011-05-07,Night,640
2011-05-08,Afternoon,1881
2011-05-08,Evening,1032
2011-05-08,Morning,864
2011-05-08,Night,556
2011-05-09,Afternoon,1034
2011-05-09,Evening,1745
2011-05-09,Morning,1145
2011-05-09,Night,438
2011-05-10,Afternoon,1102
2011-05-10,Evening,1886
2011-05-10,Morning,1337
2011-05-10,Night,478
2011-05-11,Afternoon,1064
2011-05-11,Evening,1207
2011-05-11,Morning,1377
2011-05-11,Night,534
2011-05-12,Afternoon,1121
2011-05-12,Evening,1761
2011-05-12,Morning,1397
2011-05-12,Night,585
2011-05-13,Afternoon,1137
2011-05-13,Evening,1311
2011-05-13,Morning,1160
2011-05-13,Night,497
2011-05-14,Afternoon,1332
2011-05-14,Evening,981
2011-05-14,Morning,691
2011-05-14,Night,405
2011-05-15,Afternoon,2159
2011-05-15,Evening,1051
2011-05-15,Morning,825
2011-05-15,Night,518
2011-05-16,Afternoon,1007
2011-05-16,Evening,1233
2011-05-16,Morning,1282
2011-05-16,Night,436
2011-05-17,Afternoon,1009
2011-05-17,Evening,1716
2011-05-17,Morning,1010
2011-05-17,Night,388
2011-05-18,Afternoon,775
2011-05-18,Evening,1598
2011-05-18,Morning,1168
2011-05-18,Night,314
2011-05-19,Afternoon,1021
2011-05-19,Evening,1752
2011-05-19,Morning,1383
2011-05-19,Night,419
2011-05-20,Afternoon,1256
2011-05-20,Evening,1549
2011-05-20,Morning,1559
2011-05-20,Night,553
2011-05-21,Afternoon,2388
2011-05-21,Evening,1437
2011-05-21,Morning,1168
2011-05-21,Night,812
2011-05-22,Afternoon,1776
2011-05-22,Evening,1195
2011-05-22,Morning,1025
2011-05-22,Night,664
2011-05-23,Afternoon,1050
2011-05-23,Evening,1550
2011-05-23,Morning,1220
2011-05-23,Night,454
2011-05-24,Afternoon,978
2011-05-24,Evening,1747
2011-05-24,Morning,1305
2011-05-24,Night,462
2011-05-25,Afternoon,1061
2011-05-25,Evening,1863
2011-05-25,Morning,1495
2011-05-25,Night,559
2011-05-26,Afternoon,1012
2011-05-26,Evening,1672
2011-05-26,Morning,1419
2011-05-26,Night,574
2011-05-27,Afternoon,1466
2011-05-27,Evening,1313
2011-05-27,Morning,1325
2011-05-27,Night,575
2011-05-28,Afternoon,1901
2011-05-28,Evening,1174
2011-05-28,Morning,980
2011-05-28,Night,703
2011-05-29,Afternoon,1908
2011-05-29,Evening,1217
2011-05-29,Morning,869
2011-05-29,Night,794
2011-05-30,Afternoon,1663
2011-05-30,Evening,1015
2011-05-30,Morning,866
2011-05-30,Night,554
2011-05-31,Afternoon,873
2011-05-31,Evening,1448
2011-05-31,Morning,1166
2011-05-31,Night,495
2011-06-01,Afternoon,886
2011-06-01,Evening,1315
2011-06-01,Morning,1321
2011-06-01,Night,452
2011-06-02,Afternoon,1126
2011-06-02,Evening,1813
2011-06-02,Morning,1444
2011-06-02,Night,585
2011-06-03,Afternoon,1308
2011-06-03,Evening,1806
2011-06-03,Morning,1496
2011-06-03,Night,702
2011-06-04,Afternoon,2171
2011-06-04,Evening,1209
2011-06-04,Morning,1158
2011-06-04,Night,804
2011-06-05,Afternoon,1902
2011-06-05,Evening,1389
2011-06-05,Morning,902
2011-06-05,Night,713
2011-06-06,Afternoon,910
2011-06-06,Evening,1878
2011-06-06,Morning,1274
2011-06-06,Night,486
2011-06-07,Afternoon,1016
2011-06-07,Evening,1860
2011-06-07,Morning,1460
2011-06-07,Night,497
2011-06-08,Afternoon,801
2011-06-08,Evening,1629
2011-06-08,Morning,1397
2011-06-08,Night,574
2011-06-09,Afternoon,698
2011-06-09,Evening,1455
2011-06-09,Morning,1264
2011-06-09,Night,498
2011-06-10,Afternoon,1058
2011-06-10,Evening,1536
2011-06-10,Morning,1328
2011-06-10,Night,664
2011-06-11,Afternoon,1882
2011-06-11,Evening,1162
2011-06-11,Morning,1086
2011-06-11,Night,836
2011-06-12,Afternoon,1818
2011-06-12,Evening,937
2011-06-12,Morning,1010
2011-06-12,Night,695
2011-06-13,Afternoon,1134
2011-06-13,Evening,1941
2011-06-13,Morning,1439
2011-06-13,Night,506
2011-06-14,Afternoon,1045
2011-06-14,Evening,1790
2011-06-14,Morning,1456
2011-06-14,Night,600
2011-06-15,Afternoon,1054
2011-06-15,Evening,1991
2011-06-15,Morning,1516
2011-06-15,Night,619
2011-06-16,Afternoon,963
2011-06-16,Evening,1125
2011-06-16,Morning,1245
2011-06-16,Night,434
2011-06-17,Afternoon,1260
2011-06-17,Evening,1562
2011-06-17,Morning,1389
2011-06-17,Night,633
2011-06-18,Afternoon,1916
2011-06-18,Evening,1344
2011-06-18,Morning,1088
2011-06-18,Night,771
2011-06-19,Afternoon,1816
2011-06-19,Evening,1236
2011-06-19,Morning,997
2011-06-19,Night,695
2011-06-20,Afternoon,1020
2011-06-20,Evening,1850
2011-06-20,Morning,700
2011-06-20,Night,440
2011-06-21,Afternoon,1053
2011-06-21,Evening,1859
2011-06-21,Morning,1457
2011-06-21,Night,466
2011-06-22,Afternoon,884
2011-06-22,Evening,1666
2011-06-22,Morning,1378
2011-06-22,Night,579
2011-06-23,Afternoon,959
2011-06-23,Evening,1861
2011-06-23,Morning,1373
2011-06-23,Night,597
2011-06-24,Afternoon,1194
2011-06-24,Evening,1682
2011-06-24,Morning,1424
2011-06-24,Night,691
2011-06-25,Afternoon,1948
2011-06-25,Evening,1350
2011-06-25,Morning,1016
2011-06-25,Night,888
2011-06-26,Afternoon,2186
2011-06-26,Evening,1333
2011-06-26,Morning,1074
2011-06-26,Night,712
2011-06-27,Afternoon,969
2011-06-27,Evening,1896
2011-06-27,Morning,1311
2011-06-27,Night,532
2011-06-28,Afternoon,978
2011-06-28,Evening,1678
2011-06-28,Morning,1518
2011-06-28,Night,474
2011-06-29,Afternoon,1179
2011-06-29,Evening,1892
2011-06-29,Morning,1531
2011-06-29,Night,623
2011-06-30,Afternoon,1191
2011-06-30,Evening,1975
2011-06-30,Morning,1584
2011-06-30,Night,765
2011-07-01,Afternoon,1666
2011-07-01,Evening,1470
2011-07-01,Morning,1517
2011-07-01,Night,709
2011-07-02,Afternoon,1899
2011-07-02,Evening,1321
2011-07-02,Morning,1030
2011-07-02,Night,869
2011-07-03,Afternoon,1990
2011-07-03,Evening,898
2011-07-03,Morning,956
2011-07-03,Night,805
2011-07-04,Afternoon,2138
2011-07-04,Evening,1615
2011-07-04,Morning,1009
2011-07-04,Night,1281
2011-07-05,Afternoon,1025
2011-07-05,Evening,1693
2011-07-05,Morning,1354
2011-07-05,Night,593
2011-07-06,Afternoon,915
2011-07-06,Evening,1865
2011-07-06,Morning,1255
2011-07-06,Night,594
2011-07-07,Afternoon,917
2011-07-07,Evening,1781
2011-07-07,Morning,1307
2011-07-07,Night,587
2011-07-08,Afternoon,931
2011-07-08,Evening,1003
2011-07-08,Morning,1462
2011-07-08,Night,644
2011-07-09,Afternoon,1973
2011-07-09,Evening,1399
2011-07-09,Morning,1107
2011-07-09,Night,857
2011-07-10,Afternoon,1826
2011-07-10,Evening,1297
2011-07-10,Morning,923
2011-07-10,Night,835
2011-07-11,Afternoon,808
2011-07-11,Evening,1595
2011-07-11,Morning,1337
2011-07-11,Night,346
2011-07-12,Afternoon,773
2011-07-12,Evening,1584
2011-07-12,Morning,1311
2011-07-12,Night,590
2011-07-13,Afternoon,635
2011-07-13,Evening,1712
2011-07-13,Morning,1373
2011-07-13,Night,622
2011-07-14,Afternoon,1032
2011-07-14,Evening,1921
2011-07-14,Morning,1477
2011-07-14,Night,654
2011-07-15,Afternoon,1348
2011-07-15,Evening,1820
2011-07-15,Morning,1564
2011-07-15,Night,806
2011-07-16,Afternoon,2246
2011-07-16,Evening,1605
2011-07-16,Morning,1166
2011-07-16,Night,906
2011-07-17,Afternoon,1963
2011-07-17,Evening,1400
2011-07-17,Morning,1080
2011-07-17,Night,859
2011-07-18,Afternoon,884
2011-07-18,Evening,1824
2011-07-18,Morning,1220
2011-07-18,Night,530
2011-07-19,Afternoon,912
2011-07-19,Evening,1708
2011-07-19,Morning,1347
2011-07-19,Night,574
2011-07-20,Afternoon,768
2011-07-20,Evening,1643
2011-07-20,Morning,1341
2011-07-20,Night,580
2011-07-21,Afternoon,727
2011-07-21,Evening,1317
2011-07-21,Morning,1174
2011-07-21,Night,566
2011-07-22,Afternoon,654
2011-07-22,Evening,1052
2011-07-22,Morning,1121
2011-07-22,Night,560
2011-07-23,Afternoon,1152
2011-07-23,Evening,755
2011-07-23,Morning,732
2011-07-23,Night,646
2011-07-24,Afternoon,1268
2011-07-24,Evening,927
2011-07-24,Morning,792
2011-07-24,Night,619
2011-07-25,Afternoon,545
2011-07-25,Evening,1706
2011-07-25,Morning,1121
2011-07-25,Night,468
2011-07-26,Afternoon,893
2011-07-26,Evening,1771
2011-07-26,Morning,1355
2011-07-26,Night,571
2011-07-27,Afternoon,884
2011-07-27,Evening,1782
2011-07-27,Morning,1387
2011-07-27,Night,603
2011-07-28,Afternoon,878
2011-07-28,Evening,1543
2011-07-28,Morning,1384
2011-07-28,Night,585
2011-07-29,Afternoon,841
2011-07-29,Evening,1230
2011-07-29,Morning,1201
2011-07-29,Night,574
2011-07-30,Afternoon,1558
2011-07-30,Evening,1063
2011-07-30,Morning,945
2011-07-30,Night,909
2011-07-31,Afternoon,1557
2011-07-31,Evening,1173
2011-07-31,Morning,920
2011-07-31,Night,652
2011-08-01,Afternoon,801
2011-08-01,Evening,1775
2011-08-01,Morning,1172
2011-08-01,Night,518
2011-08-02,Afternoon,961
2011-08-02,Evening,1854
2011-08-02,Morning,1389
2011-08-02,Night,641
2011-08-03,Afternoon,720
2011-08-03,Evening,1325
2011-08-03,Morning,1227
2011-08-03,Night,302
2011-08-04,Afternoon,1032
2011-08-04,Evening,1730
2011-08-04,Morning,1246
2011-08-04,Night,568
2011-08-05,Afternoon,1205
2011-08-05,Evening,1679
2011-08-05,Morning,1377
2011-08-05,Night,605
2011-08-06,Afternoon,1908
2011-08-06,Evening,668
2011-08-06,Morning,1071
2011-08-06,Night,647
2011-08-07,Afternoon,1535
2011-08-07,Evening,834
2011-08-07,Morning,865
2011-08-07,Night,551
2011-08-08,Afternoon,891
2011-08-08,Evening,1758
2011-08-08,Morning,1212
2011-08-08,Night,465
2011-08-09,Afternoon,957
2011-08-09,Evening,1780
2011-08-09,Morning,1334
2011-08-09,Night,531
2011-08-10,Afternoon,1085
2011-08-10,Evening,1868
2011-08-10,Morning,1297
2011-08-10,Night,530
2011-08-11,Afternoon,1049
2011-08-11,Evening,1812
2011-08-11,Morning,1344
2011-08-11,Night,587
2011-08-12,Afternoon,1244
2011-08-12,Evening,1653
2011-08-12,Morning,1283
2011-08-12,Night,725
2011-08-13,Afternoon,1472
2011-08-13,Evening,981
2011-08-13,Morning,984
2011-08-13,Night,713
2011-08-14,Afternoon,1651
2011-08-14,Evening,1128
2011-08-14,Morning,565
2011-08-14,Night,476
2011-08-15,Afternoon,987
2011-08-15,Evening,1695
2011-08-15,Morning,1236
2011-08-15,Night,420
2011-08-16,Afternoon,998
2011-08-16,Evening,1826
2011-08-16,Morning,1395
2011-08-16,Night,506
2011-08-17,Afternoon,1016
2011-08-17,Evening,1735
2011-08-17,Morning,1383
2011-08-17,Night,560
2011-08-18,Afternoon,961
2011-08-18,Evening,989
2011-08-18,Morning,1356
2011-08-18,Night,499
2011-08-19,Afternoon,1223
2011-08-19,Evening,1175
2011-08-19,Morning,1319
2011-08-19,Night,436
2011-08-20,Afternoon,1925
2011-08-20,Evening,1316
2011-08-20,Morning,1043
2011-08-20,Night,907
2011-08-21,Afternoon,1245
2011-08-21,Evening,1044
2011-08-21,Morning,963
2011-08-21,Night,621
2011-08-22,Afternoon,1156
2011-08-22,Evening,1884
2011-08-22,Morning,1207
2011-08-22,Night,511
2011-08-23,Afternoon,2167
2011-08-23,Evening,1618
2011-08-23,Morning,1557
2011-08-23,Night,553
2011-08-24,Afternoon,1150
2011-08-24,Evening,1962
2011-08-24,Morning,1455
2011-08-24,Night,563
2011-08-25,Afternoon,444
2011-08-25,Evening,1217
2011-08-25,Morning,1380
2011-08-25,Night,501
2011-08-26,Afternoon,1291
2011-08-26,Evening,1411
2011-08-26,Morning,1368
2011-08-26,Night,591
2011-08-27,Afternoon,196
2011-08-27,Evening,16
2011-08-27,Morning,583
2011-08-27,Night,320
2011-08-28,Afternoon,2144
2011-08-28,Evening,1401
2011-08-28,Morning,441
2011-08-28,Night,348
2011-08-29,Afternoon,1109
2011-08-29,Evening,1782
2011-08-29,Morning,1248
2011-08-29,Night,495
2011-08-30,Afternoon,1208
2011-08-30,Evening,1950
2011-08-30,Morning,1527
2011-08-30,Night,519
2011-08-31,Afternoon,1158
2011-08-31,Evening,1908
2011-08-31,Morning,1486
2011-08-31,Night,506
2011-09-01,Afternoon,1128
2011-09-01,Evening,1882
2011-09-01,Morning,1505
2011-09-01,Night,600
2011-09-02,Afternoon,1549
2011-09-02,Evening,1293
2011-09-02,Morning,1363
2011-09-02,Night,522
2011-09-03,Afternoon,1752
2011-09-03,Evening,1224
2011-09-03,Morning,815
2011-09-03,Night,693
2011-09-04,Afternoon,1962
2011-09-04,Evening,1289
2011-09-04,Morning,932
2011-09-04,Night,757
2011-09-05,Afternoon,1636
2011-09-05,Evening,494
2011-09-05,Morning,863
2011-09-05,Night,358
2011-09-06,Afternoon,315
2011-09-06,Evening,1108
2011-09-06,Morning,1009
2011-09-06,Night,278
2011-09-07,Afternoon,260
2011-09-07,Evening,844
2011-09-07,Morning,771
2011-09-07,Night,121
2011-09-08,Afternoon,643
2011-09-08,Evening,322
2011-09-08,Morning,676
2011-09-08,Night,201
2011-09-09,Afternoon,818
2011-09-09,Evening,1474
2011-09-09,Morning,704
2011-09-09,Night,548
2011-09-10,Afternoon,2044
2011-09-10,Evening,1380
2011-09-10,Morning,1070
2011-09-10,Night,851
2011-09-11,Afternoon,1990
2011-09-11,Evening,1278
2011-09-11,Morning,1153
2011-09-11,Night,625
2011-09-12,Afternoon,1046
2011-09-12,Evening,1896
2011-09-12,Morning,1323
2011-09-12,Night,448
2011-09-13,Afternoon,1033
2011-09-13,Evening,1786
2011-09-13,Morning,1431
2011-09-13,Night,513
2011-09-14,Afternoon,967
2011-09-14,Evening,1827
2011-09-14,Morning,1483
